TOWN,COUNTY,PresDem,PresRep,PresTot
Cedar Lake,Penobscot,0,0,0
T42 MD BPP,Washington,0,0,0
Turner,Androscoggin,1322,2253,3671
Easton,Aroostook,221,475,718
Knox,Waldo,131,336,489
Massachusetts Gore,Franklin,0,0,0
Abbot,Piscataquis,126,276,409
Newfield,York,369,648,1053
New Sweden,Aroostook,131,199,347
T19 MD BPP,Washington,0,0,0
Smithfield,Somerset,276,340,641
Greenwood,Oxford,302,291,610
T12 R17 WELS,Aroostook,0,0,0
New Vineyard,Franklin,166,295,472
Winthrop,Kennebec,1995,1811,3953
T10 R6 WELS,Aroostook,0,0,0
Devereaux,Washington,0,0,0
T9 R13 WELS,Piscataquis,0,0,0
Troy,Waldo,218,341,585
Appleton,Knox,477,421,934
Sandwich Academy Grant,Somerset,0,0,0
Islesboro,Waldo,332,115,462
Livermore Falls,Androscoggin,526,856,1442
Bowdoin College Grant East,Piscataquis,0,0,0
T7 R8 WELS,Penobscot,0,0,0
Rockland,Knox,2529,1272,3942
Nashville Plt,Aroostook,7,15,22
Drew Twp,Penobscot,3,13,17
Winterport,Waldo,1025,1306,2406
Trescott,Washington,0,0,0
Seboomook,Somerset,0,0,0
T8 R9 WELS,Piscataquis,0,0,0
T1 R13 WELS,Piscataquis,0,0,0
Sweden,Oxford,157,119,287
Caswell,Aroostook,41,83,126
T18 R11 WELS,Aroostook,0,0,0
T11 R11 WELS,Aroostook,0,0,0
Westbrook,Cumberland,6941,3481,10814
Chapman,Aroostook,85,180,274
Damariscotta,Lincoln,1004,469,1517
Mount Desert,Hancock,1019,336,1412
Houlton,Aroostook,983,1672,2730
Cove Point,Piscataquis,0,0,0
Milo/Orneville Twp,Piscataquis,429,821,1286
Davis,Franklin,0,0,0
Moro Plantation,Aroostook,3,20,23
Deer Isle,Hancock,765,538,1361
Hammond,Aroostook,12,41,55
Embden,Somerset,213,434,668
Byron,Oxford,36,66,106
Bowerbank,Piscataquis,44,82,128
Otis,Hancock,160,340,508
Dyer,Washington,0,0,0
Camden,Knox,2834,725,3687
Newry,Oxford,146,115,277
Hallowell,Kennebec,1326,448,1833
Chain of Ponds,Franklin,0,0,0
Millinocket/Twps,Penobscot,1125,1484,2684
Hebron,Oxford,304,472,810
Limington,York,901,1490,2465
Gray,Cumberland,2743,2704,5650
Fort Kent,Aroostook,904,1261,2231
T5 R11 WELS,Piscataquis,0,0,0
Long A,Penobscot,0,0,0
Stonington,Hancock,382,243,647
Georgetown,Sagadahoc,553,284,874
Carrying Place,Somerset,0,0,0
Topsham,Sagadahoc,4112,2302,6669
Hartford,Oxford,277,447,748
T16 R12 WELS,Aroostook,0,0,0
Lang,Franklin,0,0,0
Crawford,Washington,26,48,75
Harrison,Cumberland,778,873,1703
Dixmont,Penobscot,266,474,760
Lamoine,Hancock,624,566,1240
Searsport,Waldo,899,781,1726
T8 R6 WELS,Penobscot,0,0,0
T11 R16 WELS,Aroostook,0,0,0
Bridgton,Cumberland,1779,1731,3618
Cambridge,Somerset,60,188,255
Seven Ponds,Franklin,0,0,0
Belfast,Waldo,2865,1228,4257
Stow,Oxford,125,118,254
Dedham,Hancock,571,600,1200
West Forks Plantation,Somerset,17,30,50
Big Twenty,Aroostook,0,0,0
T9 R5 WELS,Aroostook,0,0,0
Lyman,York,1348,1678,3109
Washington,Knox,434,577,1052
Cooper,Washington,32,60,97
Raymond,Cumberland,1636,1549,3277
Sangerville,Piscataquis,244,505,769
Bucksport,Hancock,1385,1485,2955
Nesourdnahunk,Piscataquis,0,0,0
T3 R3 WELS,Aroostook,0,0,0
Blue Hill,Hancock,1369,628,2068
T26 ED BPP,Washington,0,0,0
Pleasant Point Voting District,Washington,181,63,252
T10 R8 WELS,Aroostook,0,0,0
Hobbstown,Somerset,0,0,0
T13 R5 WELS,Aroostook,0,0,0
Hiram,Oxford,396,585,1002
Passadumkeag,Penobscot,54,180,244
T2 R9 NWP,Penobscot,0,0,0
East Millinocket,Penobscot,343,557,924
T12 R16 WELS,Aroostook,0,0,0
T19 R11 WELS,Aroostook,0,0,0
Lowell,Penobscot,68,196,272
Blaine,Aroostook,89,285,385
